id,circuit_name,path,model,analysis
1,"Protein Kinase Domain","examples/esm35m_12layer/kinase/","ESM2-35M (12 layers)", "Zero-shot"
2,"NADP+ Binding Domain","examples/esm35m_12layer/nadp_binding/","ESM2-35M (12 layers)", "Zero-shot"
3,"GB1 Wildtype","examples/esm35m_12layer/gb1_wildtype/","ESM2-35M (12 layers)", "Zero-shot"
4,"GB1 High Fitness","examples/esm35m_12layer/gb1_high/","ESM2-35M (12 layers)", "Zero-shot"
5,"GB1 Low Fitness","examples/esm35m_12layer/gb1_low/","ESM2-35M (12 layers)", "Zero-shot"
6,"Protein Kinase Domain","examples/esm8m_6layer/kinase/","ESM2-8M (6 layers)", "Zero-shot"
7,"NADP+ Binding Domain","examples/esm8m_6layer/nadp_binding/","ESM2-8M (6 layers)", "Zero-shot"
8,"GB1 Wildtype","examples/esm8m_6layer/gb1_wildtype/","ESM2-8M (6 layers)", "Zero-shot"
9,"GB1 High Fitness","examples/esm8m_6layer/gb1_high/","ESM2-8M (6 layers)", "Zero-shot"
10,"GB1 Low Fitness","examples/esm8m_6layer/gb1_low/","ESM2-8M (6 layers)", "Zero-shot"
11,"Kinase (HRD)","examples/progen3-112m/kinase_hrd_clm/","ProGen3-112M","CLM"
12,"Kinase (DFG)","examples/progen3-112m/kinase_dfg_clm/","ProGen3-112M","CLM"
13,"GRB2 (wildtype)","examples/progen3-112m/grb2_wildtype_zeroshot/","ProGen3-112M","Zero-shot"
14,"GRB2 (high fitness)","examples/progen3-112m/grb2_highfitness_zeroshot/","ProGen3-112M","Zero-shot"
15,"GRB2 (low fitness)","examples/progen3-112m/grb2_lowfitness_zeroshot/","ProGen3-112M","Zero-shot"
