id,circuit_name,path,model
1,"Protein Kinase Domain","examples/esm35m_12layer/kinase/","ESM2-35M (12 layers)"
2,"NADP+ Binding Domain","examples/esm35m_12layer/nadp_binding/","ESM2-35M (12 layers)"
3,"GB1 Wildtype","examples/esm35m_12layer/gb1_wildtype/","ESM2-35M (12 layers)"
4,"GB1 High Fitness","examples/esm35m_12layer/gb1_high/","ESM2-35M (12 layers)"
5,"GB1 Low Fitness","examples/esm35m_12layer/gb1_low/","ESM2-35M (12 layers)"
6,"Protein Kinase Domain","examples/esm8m_6layer/kinase/","ESM2-8M (6 layers)"
7,"NADP+ Binding Domain","examples/esm8m_6layer/nadp_binding/","ESM2-8M (6 layers)"
8,"GB1 Wildtype","examples/esm8m_6layer/gb1_wildtype/","ESM2-8M (6 layers)"
9,"GB1 High Fitness","examples/esm8m_6layer/gb1_high/","ESM2-8M (6 layers)"
10,"GB1 Low Fitness","examples/esm8m_6layer/gb1_low/","ESM2-8M (6 layers)"
